"Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.Kingdom","TopTaxon.Phylum","TopTaxon.Class","TopTaxon.Order","TopTaxon.Family","TopTaxon.Genus","TopTaxon.Species","Kingdom.maxNamed","Kingdom.maxNamed.Percent","Phylum.maxNamed","Phylum.maxNamed.Percent","Class.maxNamed","Class.maxNamed.Percent","Order.maxNamed","Order.maxNamed.Percent","Family.maxNamed","Family.maxNamed.Percent","Genus.maxNamed","Genus.maxNamed.Percent","Species.maxNamed","Species.maxNamed.Percent"
"Bin18",0.00537145859367661,"ASV352",0.136023277412816,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","uncultured","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Bacteroidales",1,"Paludibacteraceae",0.570826653239144,"uncultured",0.786846593791925,"uncultured bacterium",1
"Bin19",0.00523963229320763,"ASV215",0.180411705498668,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes vadinHA17","uncultured","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",0.972305552795001,"Bacteroidales",0.933450257298772,"Bacteroidetes vadinHA17",0.368013198601974,"uncultured",0.935293315634517,"uncultured bacterium",1
"Bin20",0.0041405570071461,"ASV454",0.153661916668591,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Flavobacteriales",1,"Flavobacteriaceae",0.568889332935466,"Flavobacterium",0.560167725005321,"uncultured bacterium",1
"Bin21",0.00266337318845994,"ASV279",0.322707352468175,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidetes VC2.1 Bac22",NA,"uncultured","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Bacteroidetes VC2.1 Bac22",0.603507992435843,"NS9 marine group",1,"uncultured",1,"uncultured bacterium",1
"Bin22",0.00344026950285338,"ASV274",0.244789130318673,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","uncultured","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Sphingobacteriales",0.821367628054794,"Lentimicrobiaceae",0.430724635955027,"uncultured",1,"uncultured bacterium",1
"Bin23",0.00543158843843634,"ASV531",0.106531505382137,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS 17","uncultured","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Sphingobacteriales",0.984417418076717,"env.OPS 17",0.576246792723954,"uncultured",1,"uncultured bacterium",1
"Bin24",0.0082847863088998,"ASV188",0.123436786961988,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Chitinophagales",0.979945442997036,"Chitinophagaceae",0.965969732560209,"Terrimonas",0.950515439541976,"uncultured bacterium",1
"Bin25",0.00489667349845587,"ASV122",0.264110061911383,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Chitinophagales",1,"Chitinophagaceae",1,"Terrimonas",1,"uncultured bacterium",1
"Bin26",0.0138742327577431,"ASV20",0.206707391561869,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Chitinophagales",1,"Chitinophagaceae",1,"uncultured",0.613965986080603,"uncultured bacterium",0.985511583842386
"Bin27",0.0133302293394129,"ASV34",0.169654284735671,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Chitinophagales",1,"Chitinophagaceae",1,"Terrimonas",0.42253612704854,"uncultured bacterium",0.978570974091744
"Bin28",0.00720695581138222,"ASV119",0.173662627572673,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Chitinophagales",1,"Saprospiraceae",1,"uncultured",0.958541282910026,"uncultured bacterium",1
"Bin29",0.00287349301808677,"ASV585",0.180410670604321,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","uncultured","uncultured bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Bacteroidales",1,"Barnesiellaceae",0.360821341208643,"uncultured",0.630061244906596,"uncultured bacterium",0.981024618225446
"Bin30",0.00329981657216401,"ASV385",0.211505097604441,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10","uncultured bacterium","Bacteria",1,"Acidobacteriota",1,"Holophagae",0.494144698721847,"Thermoanaerobaculales",0.454155703085042,"Thermoanaerobaculaceae",0.529144502276114,"uncultured",0.551650185062017,"uncultured bacterium",1
"Bin31",0.00591859417682248,"ASV416",0.112484715350682,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,"uncultured","uncultured bacterium","Bacteria",1,"Planctomycetota",1,"Planctomycetes",1,"Planctomycetales",1,"Schlesneriaceae",0.696873833449749,"uncultured",0.695570399533781,"uncultured bacterium",1
"Bin32",0.00401838471277764,"ASV220",0.242141921180245,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14","uncultured bacterium","Bacteria",1,"Planctomycetota",1,"Planctomycetes",1,"Planctomycetales",1,"Rubinisphaeraceae",1,"SH-PL14",0.750476073802959,"uncultured bacterium",1
"Bin33",0.00394932962286575,"ASV595",0.135301733728274,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir2 lineage","uncultured bacterium","Bacteria",1,"Planctomycetota",1,"Planctomycetes",1,"Pirellulales",1,"Pirellulaceae",1,"Pir2 lineage",0.580269043711279,"uncultured bacterium",1
"Bin34",0.00901111153030268,"ASV456",0.0678921283285362,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","uncultured bacterium","Bacteria",1,"Planctomycetota",1,"Planctomycetes",1,"Pirellulales",1,"Pirellulaceae",1,"uncultured",1,"uncultured bacterium",1
"Bin35",0.0049262681375628,"ASV376",0.139595557285493,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","uncultured bacterium","Bacteria",1,"Planctomycetota",1,"Planctomycetes",1,"Pirellulales",1,"Pirellulaceae",1,"Pirellula",0.462709150245043,"uncultured bacterium",1
"Bin36",0.0138504861093251,"ASV44",0.144360120090562,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","uncultured bacterium","Bacteria",1,"Planctomycetota",1,"Planctomycetes",1,"Pirellulales",1,"Pirellulaceae",1,"Pir4 lineage",1,"uncultured bacterium",1
"Bin37",0.0106640961899256,"ASV67",0.142902284261384,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","uncultured bacterium","Bacteria",1,"Planctomycetota",1,"Planctomycetes",1,"Pirellulales",1,"Pirellulaceae",1,"Pir4 lineage",0.998015814694745,"uncultured bacterium",1
"Bin38",0.00851711240662842,"ASV127",0.149972726623588,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","uncultured bacterium","Bacteria",1,"Planctomycetota",1,"Planctomycetes",1,"Pirellulales",1,"Pirellulaceae",1,"Pirellula",0.869572448194719,"uncultured bacterium",1
"Bin39",0.00298107527706401,"ASV1113",0.1064693490802,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus","uncultured bacterium","Bacteria",1,"Planctomycetota",1,"Planctomycetes",1,"Gemmatales",1,"Gemmataceae",1,"uncultured",0.434049575207068,"uncultured bacterium",1
"Bin40",0.00857728545992703,"ASV108",0.145028681599887,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured bacterium","Bacteria",1,"Planctomycetota",1,"Planctomycetes",0.70147620314637,"Gemmatales",0.919376374551714,"Gemmataceae",0.919376374551714,"uncultured",0.954901691516465,"uncultured bacterium",1
"Bin41",0.00646129926435215,"ASV160",0.17235476941266,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured","uncultured bacterium","Bacteria",1,"Planctomycetota",1,"Phycisphaerae",1,"Tepidisphaerales",0.787121749073006,"WD2101 soil group",0.685327289782744,"uncultured",0.872679415853217,"uncultured bacterium",1
"Bin42",0.00347216392745751,"ASV470",0.172478612888994,"Bacteria","Planctomycetota","vadinHA49",NA,NA,"uncultured","uncultured bacterium","Bacteria",1,"Planctomycetota",1,"vadinHA49",1,NA,NA,NA,NA,"uncultured",1,"uncultured bacterium",1
"Bin43",0.00763499843904815,"ASV80",0.150948917522985,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured bacterium","Bacteria",1,"Nitrospirota",0.73959273912282,"Nitrospiria",0.506569648147592,"Nitrospirales",0.660475748600706,"Nitrospiraceae",0.749845648656626,"Nitrospira",0.506569648147592,"uncultured bacterium",0.978070311382065
"Bin44",0.00360253627943309,"ASV1018",0.0998932725673267,"Bacteria","Zixibacteria",NA,NA,NA,"uncultured","uncultured bacterium","Bacteria",1,"Verrucomicrobiota",0.417697408285583,"Omnitrophia",0.819041486047995,"Omnitrophales",0.879456736293337,"Omnitrophaceae",0.775569082466536,"uncultured",0.678680031816464,"uncultured bacterium",1
"Bin45",0.00670646140906293,"ASV286",0.12194877317904,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","uncultured","uncultured bacterium","Bacteria",1,"Acidobacteriota",1,"Vicinamibacteria",0.993948460580184,"Vicinamibacterales",0.746992594487123,"Vicinamibacteraceae",1,"uncultured",1,"uncultured bacterium",1
"Bin46",0.0118366957460665,"ASV171",0.0926368265751519,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,"uncultured","uncultured bacterium","Bacteria",1,"Acidobacteriota",1,"Vicinamibacteria",1,"Vicinamibacterales",1,"Vicinamibacteraceae",1,"uncultured",0.884492828194201,"uncultured bacterium",1
"Bin47",0.00493206703750606,"ASV66",0.2299590630772,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter","uncultured bacterium","Bacteria",1,"Acidobacteriota",1,"Blastocatellia",0.965216648547063,"Blastocatellales",0.723276561210728,"Blastocatellaceae",0.778916104886866,"Stenotrophobacter",0.49308115583166,"uncultured bacterium",1
"Bin48",0.0150835772200724,"ASV8",0.452074084913728,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,"uncultured","uncultured bacterium","Bacteria",1,"Cyanobacteria",0.980666544532096,"Cyanobacteriia",0.884036493653597,"Chloroplast",0.890178144309166,"Obscuribacteraceae",0.623778725953864,"uncultured",0.982972002591119,"uncultured bacterium",1
"Bin49",0.00462909858145959,"ASV1085",0.0730290966433935,"Archaea","Crenarchaeota","Bathyarchaeia",NA,NA,"uncultured","uncultured bacterium","Archaea",0.902054077436397,"Crenarchaeota",0.431217989732355,"Methanobacteria",0.360692971116345,"Methanobacteriales",0.408673555126664,"Methanobacteriaceae",0.443010694792276,"uncultured",0.647350090128483,"uncultured bacterium",1
"Bin50",0.0114287208170692,"ASV22",0.241587201543286,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured","uncultured bacterium","Bacteria",1,"Proteobacteria",0.987507003520941,"Alphaproteobacteria",0.987507003520941,"Rickettsiales",1,"Mitochondria",1,"uncultured",1,"uncultured bacterium",1
"Bin51",0.00167937405441644,"ASV1632",0.129871309852189,"Bacteria","Patescibacteria","Microgenomatia","Candidatus Gottesmanbacteria",NA,"uncultured","uncultured bacterium","Bacteria",1,"Patescibacteria",1,"Microgenomatia",0.870331950750531,"Candidatus Gottesmanbacteria",0.410427686467013,NA,NA,"uncultured",1,"uncultured bacterium",1
"Bin52",0.0125667008436003,"ASV130",0.100469741712923,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,"uncultured","uncultured bacterium","Bacteria",1,"Patescibacteria",0.996386329313644,"Saccharimonadia",0.982541683353279,"Saccharimonadales",1,NA,NA,"uncultured",1,"uncultured bacterium",1
"Bin53",0.00890653093468646,"ASV203",0.110173076470083,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","uncultured","uncultured bacterium","Bacteria",1,"Spirochaetota",1,"Spirochaetia",1,"Spirochaetales",1,"Spirochaetaceae",1,"uncultured",1,"uncultured bacterium",1
"Bin54",0.00804083121826495,"ASV451",0.0786606827764167,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema","uncultured bacterium","Bacteria",1,"Spirochaetota",0.918588767011108,"Spirochaetia",0.720209474218275,"Spirochaetales",0.765875360174729,"Spirochaetaceae",0.765875360174729,"Treponema",0.318782379494905,"uncultured bacterium",0.984210928661847
"Bin55",0.00608533069319962,"ASV176",0.180977849301806,"Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus","uncultured bacterium","Bacteria",1,"Firmicutes",1,"Bacilli",1,"Alicyclobacillales",0.931554198812886,"Alicyclobacillaceae",0.931554198812886,"Tumebacillus",0.931554198812886,"uncultured bacterium",0.990828592736198
"Bin56",0.16275164145426,"ASV1",0.201361505737107,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","uncultured bacterium","Bacteria",1,"Firmicutes",0.999875317953104,"Bacilli",0.972211515784721,"Lactobacillales",0.933184838697719,"Enterococcaceae",0.935447189952092,"Enterococcus",0.92689891505465,"uncultured bacterium",0.997615345189562
"Bin57",0.00656469861194691,"ASV58",0.271796406786124,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","uncultured bacterium","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Clostridiales",0.472881929457878,"Clostridiaceae",0.664635003485464,"uncultured",0.540472259338328,"uncultured bacterium",0.993553537121913
"Bin58",0.00365511231496342,"ASV475",0.167077498658718,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Ruminiclostridium","uncultured bacterium","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Oscillospirales",0.827222487982849,"Hungateiclostridiaceae",0.751677109116413,"uncultured",0.241398627537696,"uncultured bacterium",1
"Bin59",0.0128053504006427,"ASV95",0.114386740127978,"Bacteria","Proteobacteria","Gammaproteobacteria","R7C24",NA,"uncultured","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"R7C24",0.777205640045961,"Unknown Family",1,"uncultured",0.810821813318692,"uncultured bacterium",1
"Bin60",0.010205697533803,"ASV113",0.127204232202875,"Bacteria","Proteobacteria","Gammaproteobacteria","Acidithiobacillales","Acidithiobacillaceae","KCM-B-112","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"Acidithiobacillales",0.393624166809674,"Acidithiobacillaceae",0.604438400061808,"KCM-B-112",0.393624166809674,"uncultured bacterium",1
"Bin61",0.0148115625109238,"ASV15",0.233958479176566,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax","uncultured bacterium","Bacteria",1,"Bdellovibrionota",0.645260326352154,"Bdellovibrionia",0.636578998687472,"Bacteriovoracales",0.636578998687471,"Bacteriovoracaceae",0.687092780844472,"Bacteriovorax",0.62508443791433,"uncultured bacterium",1
"Bin62",0.0269574501758987,"ASV48",0.0728504882806893,"Bacteria","Proteobacteria","Gammaproteobacteria","HOC36",NA,"uncultured","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"Burkholderiales",0.781732625918852,"Rhodocyclaceae",0.653815279377188,"uncultured",0.332972549336553,"uncultured bacterium",1
"Bin63",0.0136255235339415,"ASV25",0.185674719782428,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","uncultured","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"Burkholderiales",1,"SC-I-84",0.470308447672357,"uncultured",0.744022187343982,"uncultured bacterium",1
"Bin64",0.00756867208526646,"ASV69",0.217728319299962,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"Burkholderiales",1,"Rhodocyclaceae",1,"Sulfuritalea",0.523436540762417,"uncultured bacterium",0.89079647703781
"Bin65",0.0252114284142392,"ASV10",0.190388300184479,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"Burkholderiales",1,"Gallionellaceae",0.656336265923257,"Sideroxydans",0.656336265923257,"uncultured bacterium",1
"Bin66",0.00457615668151423,"ASV582",0.119521312329073,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","uncultured","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"Burkholderiales",1,"Methylophilaceae",0.385552873139426,"Nitrosomonas",0.239147398192319,"uncultured bacterium",1
"Bin67",0.00674760809035948,"ASV71",0.251994863649602,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Parvibium","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"Burkholderiales",1,"Alcaligenaceae",0.68637123595815,"Parvibium",0.673827802687861,"uncultured bacterium",1
"Bin68",0.00456573839487411,"ASV407",0.143690880740444,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",1,"Piscinibacter",0.460246071693822,"uncultured bacterium",0.896176230628512
"Bin69",0.00373692644880567,"ASV204",0.262178526697475,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rubrivivax","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",1,"Rubrivivax",0.421204234585693,"uncultured bacterium",1
"Bin70",0.00850928242594074,"ASV91",0.177053623627775,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","uncultured","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",1,"uncultured",0.602186107720062,"uncultured bacterium",0.9333827319584
"Bin71",0.0141988894540682,"ASV45",0.100974551253556,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ottowia","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",1,"Hydrogenophaga",0.254037083620074,"uncultured bacterium",0.992924807017829
"Bin72",0.0096205208346871,"ASV101",0.139782713314747,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Aquimonas","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"Xanthomonadales",0.992065307151837,"Xanthomonadaceae",0.599263991899615,"Aquimonas",0.260106926553565,"uncultured bacterium",1
"Bin73",0.00296663935648412,"ASV612",0.178548636067199,"Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","uncultured","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Gammaproteobacteria",1,"Gammaproteobacteria Incertae Sedis",0.381882622571316,"Unknown Family",0.390937746422068,"uncultured",0.381347268337798,"uncultured bacterium",1
"Bin74",0.0114208860233163,"ASV86",0.133981607596813,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfomicrobiaceae","Desulfomicrobium","uncultured bacterium","Bacteria",1,"Desulfobacterota",0.997220941145371,"Desulfovibrionia",1,"Desulfovibrionales",1,"Desulfovibrionaceae",0.748819665008007,"Desulfovibrio",0.689857603925446,"uncultured bacterium",1
"Bin75",0.00196583848671235,"ASV418",0.328290479841203,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales",NA,"uncultured","uncultured bacterium","Bacteria",1,"Campylobacterota",0.712387341585471,"Campylobacteria",1,"Campylobacterales",1,"Sulfurimonadaceae",0.714795797774168,"uncultured",0.766596073994016,"uncultured bacterium",1
"Bin76",0.00856239358475691,"ASV183",0.121546769913835,"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,"uncultured","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Alphaproteobacteria",1,"Acetobacterales",0.368328413838485,"Acetobacteraceae",0.635534932967197,"uncultured",0.827140174755819,"uncultured bacterium",0.970436813463484
"Bin77",0.00514148105821955,"ASV115",0.249175777534462,"Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia","uncultured bacterium","Bacteria",1,"Proteobacteria",1,"Alphaproteobacteria",1,"Dongiales",0.784380310198781,"Dongiaceae",0.784380310198781,"Dongia",0.784380310198781,"uncultured bacterium",1
