"ID","Bin","TaxonRelativeAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV43","Bin15",0.000412611087600508,"Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium","uncultured bacterium"
"ASV44","Bin36",0.00199945783805484,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","uncultured bacterium"
"ASV45","Bin71",0.00143372649092338,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ottowia","uncultured bacterium"
"ASV48","Bin62",0.00196386340811658,"Bacteria","Proteobacteria","Gammaproteobacteria","HOC36",NA,"uncultured","uncultured bacterium"
"ASV49","Bin4",0.0019434780869536,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured","uncultured bacterium"
"ASV50","Bin50",0.0019176601070685,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured","uncultured bacterium"
"ASV52","Bin62",0.00108971646212442,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azospira","uncultured bacterium"
"ASV53","Bin61",0.00191989998660535,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax","uncultured bacterium"
"ASV55","Bin64",0.000423190859077444,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Denitratisoma","uncultured bacterium"
"ASV56","Bin62",0.00177095291828839,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio","uncultured bacterium"
"ASV57","Bin108",0.00176235945269275,"Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","uncultured","uncultured bacterium"
"ASV58","Bin57",0.00178426149436103,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","uncultured bacterium"
"ASV59","Bin92",0.00173304753290991,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","uncultured","uncultured bacterium"
"ASV60","Bin92",0.00172596238791805,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","uncultured","uncultured bacterium"
"ASV61","Bin71",0.00104340419948228,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","uncultured","uncultured bacterium"
"ASV62","Bin64",0.000543209435507362,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Denitratisoma","uncultured bacterium"
"ASV63","Bin83",0.00168457854168732,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","uncultured bacterium"
"ASV64","Bin4",0.00169502937646034,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured","uncultured bacterium"
"ASV65","Bin62",0.000983230719530503,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azospira","uncultured bacterium"
"ASV66","Bin47",0.00113417351497883,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter","uncultured bacterium"
"ASV67","Bin37",0.00152392370512349,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","uncultured bacterium"
"ASV68","Bin1",0.00167122032526914,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","OLB15","uncultured bacterium"
"ASV69","Bin64",0.00164791425245761,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured bacterium"
"ASV70","Bin92",0.00161639052741152,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","uncultured","uncultured bacterium"
"ASV71","Bin67",0.00170036258069109,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Parvibium","uncultured bacterium"
"ASV72","Bin108",0.0016418658519795,"Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Quadrisphaera","uncultured bacterium"
"ASV74","Bin67",0.00168549359289191,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Parvibium","uncultured bacterium"
"ASV75","Bin62",0.00150863847292588,"Bacteria","Proteobacteria","Gammaproteobacteria","HOC36",NA,"uncultured","uncultured bacterium"
"ASV76","Bin87",0.00161591790405834,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","uncultured bacterium"
"ASV78","Bin15",0.000370292001692763,"Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium","uncultured bacterium"
"ASV79","Bin43",0.000878121032585696,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured bacterium"
"ASV80","Bin43",0.001152494749664,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured bacterium"
"ASV81","Bin74",0.00151387184562441,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","uncultured bacterium"
"ASV82","Bin61",0.00164084475599411,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax","uncultured bacterium"
"ASV84","Bin15",0.00152438233343845,"Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","PHOS-HE36","uncultured","uncultured bacterium"
"ASV85","Bin87",0.00151943900155575,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","uncultured","uncultured bacterium"
"ASV86","Bin74",0.00153018866958389,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfomicrobiaceae","Desulfomicrobium","uncultured bacterium"
"ASV87","Bin59",0.00146262479788024,"Bacteria","Proteobacteria","Gammaproteobacteria","R7C24",NA,"uncultured","uncultured bacterium"
"ASV88","Bin87",0.00129454702483443,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","uncultured bacterium"
"ASV89","Bin60",0.00075903022726258,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter","uncultured bacterium"
"ASV90","Bin62",0.0014724810528533,"Bacteria","Proteobacteria","Gammaproteobacteria","HOC36",NA,"uncultured","uncultured bacterium"
"ASV91","Bin70",0.00150659928798495,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","uncultured","uncultured bacterium"
"ASV92","Bin56",0.00150700585045834,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","uncultured bacterium"
"ASV93","Bin16",0.000502299415100237,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Chryseolinea","uncultured bacterium"
"ASV94","Bin94",0.00144876644710276,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","A0839","uncultured","uncultured bacterium"
"ASV95","Bin59",0.00146476228852602,"Bacteria","Proteobacteria","Gammaproteobacteria","R7C24",NA,"uncultured","uncultured bacterium"
"ASV96","Bin60",0.000763064749801255,"Bacteria","Proteobacteria","Gammaproteobacteria","CCD24",NA,"uncultured","uncultured bacterium"
"ASV97","Bin2",0.00141109077864341,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured","uncultured bacterium"
"ASV98","Bin92",0.00141099488662171,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","uncultured","uncultured bacterium"
"ASV99","Bin82",0.00136707254088961,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella","uncultured bacterium"
"ASV100","Bin90",0.00141179524890607,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","uncultured bacterium"
"ASV101","Bin72",0.00134478250577362,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Aquimonas","uncultured bacterium"
"ASV103","Bin92",0.000963973470899081,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","uncultured bacterium"
"ASV104","Bin65",0.00134043016273654,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured bacterium"
"ASV105","Bin71",0.00134823907009022,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","uncultured bacterium"
"ASV107","Bin11",0.00135564804525073,"Bacteria","Chloroflexi","KD4-96",NA,NA,"uncultured","uncultured bacterium"
"ASV108","Bin40",0.0012439524019591,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured bacterium"
"ASV109","Bin87",0.00134265203331172,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","uncultured","uncultured bacterium"
"ASV110","Bin50",0.0012907321201862,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured","uncultured bacterium"
"ASV112","Bin107",0.00130104719496835,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","Longivirga","uncultured bacterium"
"ASV113","Bin60",0.00129820791888219,"Bacteria","Proteobacteria","Gammaproteobacteria","Acidithiobacillales","Acidithiobacillaceae","KCM-B-112","uncultured bacterium"
"ASV114","Bin79",0.00129479327564954,"Bacteria","Proteobacteria","Alphaproteobacteria","Ferrovibrionales","Ferrovibrionaceae","Ferrovibrio","uncultured bacterium"
"ASV115","Bin77",0.00128113254036056,"Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia","uncultured bacterium"
"ASV116","Bin64",0.000306813372831147,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Denitratisoma","uncultured bacterium"
"ASV117","Bin62",0.00128156909884009,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azospira","uncultured bacterium"
"ASV118","Bin105",0.00130701712660717,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","uncultured bacterium"
"ASV119","Bin28",0.00125157888300478,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured bacterium"
"ASV121","Bin71",0.00127595935794856,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","uncultured bacterium"
"ASV122","Bin25",0.00129326074083701,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","uncultured bacterium"
"ASV123","Bin83",0.00130597847926062,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured bacterium"
"ASV124","Bin43",0.000680894762691432,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured bacterium"
"ASV125","Bin10",0.00127589967284624,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured","uncultured bacterium"
"ASV126","Bin104",0.00125145626514443,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","uncultured","uncultured bacterium"
"ASV127","Bin38",0.00127733457058166,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","uncultured bacterium"
"ASV128","Bin65",0.00122064388083303,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured bacterium"
"ASV130","Bin52",0.0012625731879401,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,"uncultured","uncultured bacterium"
"ASV131","Bin4",0.000941599661447313,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured","uncultured bacterium"
"ASV132","Bin62",0.00124152675894735,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067","uncultured bacterium"
"ASV133","Bin65",0.00124950378684947,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia","uncultured bacterium"
"ASV134","Bin52",0.00122430214330835,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,"uncultured","uncultured bacterium"
"ASV136","Bin108",0.00120575705706523,"Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","uncultured","uncultured bacterium"
"ASV137","Bin6",0.00121512527626586,"Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales",NA,"uncultured","uncultured bacterium"
"ASV138","Bin82",0.000491137205875787,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","uncultured bacterium"
"ASV139","Bin59",0.001200459785646,"Bacteria","Proteobacteria","Gammaproteobacteria","R7C24",NA,"uncultured","uncultured bacterium"
"ASV140","Bin4",0.000993141859293584,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured","uncultured bacterium"
"ASV141","Bin37",0.00116323618511754,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","uncultured bacterium"
"ASV142","Bin60",0.00111087600507829,"Bacteria","Proteobacteria","Gammaproteobacteria","Acidithiobacillales","Acidithiobacillaceae","KCM-B-112","uncultured bacterium"
"ASV143","Bin107",0.00116328106287822,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Phytohabitans","uncultured bacterium"
"ASV144","Bin105",0.00118862790156267,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,"uncultured","uncultured bacterium"
"ASV145","Bin72",0.00115758160038138,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Aquimonas","uncultured bacterium"
"ASV146","Bin90",0.00112387172151162,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudorhodoplanes","uncultured bacterium"
"ASV147","Bin38",0.00111295417447555,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","uncultured bacterium"
"ASV148","Bin13",0.0011459181619508,"Bacteria","Fibrobacterota","Chitinivibrionia",NA,NA,"uncultured","uncultured bacterium"
"ASV149","Bin63",0.000424163950529089,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","B1-7BS","uncultured","uncultured bacterium"
"ASV150","Bin93",0.00113275631980118,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Nordella","uncultured bacterium"
"ASV151","Bin72",0.00112991497878739,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","uncultured bacterium"
"ASV152","Bin62",0.00114358101937354,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067","uncultured bacterium"
"ASV153","Bin59",0.0011415563919975,"Bacteria","Proteobacteria","Gammaproteobacteria","R7C24",NA,"uncultured","uncultured bacterium"
"ASV154","Bin67",0.00116086975934277,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Parvibium","uncultured bacterium"
"ASV155","Bin37",0.00115084349053798,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","uncultured bacterium"
"ASV156","Bin78",0.00113698981169471,"Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Defluviicoccaceae","Defluviicoccus","uncultured bacterium"
"ASV157","Bin70",0.00110701617694044,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","uncultured","uncultured bacterium"
"ASV158","Bin59",0.00112496337949937,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","uncultured bacterium"
"ASV159","Bin16",0.00110334749445025,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Hassallia","uncultured bacterium"
"ASV160","Bin41",0.0011136357448136,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured","uncultured bacterium"
"ASV161","Bin98",0.00111981746952172,"Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","uncultured","uncultured bacterium"
"ASV162","Bin92",0.00110870258205506,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","uncultured bacterium"
"ASV163","Bin108",0.00111301397202496,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","uncultured bacterium"
"ASV164","Bin4",0.00107800743744195,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured","uncultured bacterium"
"ASV165","Bin93",0.0010815875696506,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","uncultured","uncultured bacterium"
"ASV168","Bin56",0.00113854534089387,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","uncultured bacterium"
"ASV169","Bin26",0.00110034966657827,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Dinghuibacter","uncultured bacterium"
"ASV171","Bin46",0.0010965139310512,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,"uncultured","uncultured bacterium"
"ASV172","Bin62",0.00104297053190145,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio","uncultured bacterium"
"ASV173","Bin52",0.00106346576469019,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,"uncultured","uncultured bacterium"
"ASV175","Bin90",0.00108709903506929,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","uncultured bacterium"
"ASV176","Bin55",0.00110131006114554,"Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus","uncultured bacterium"
"ASV177","Bin107",0.00103661659482379,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Phytohabitans","uncultured bacterium"
"ASV178","Bin52",0.00107988623971448,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,"uncultured","uncultured bacterium"
"ASV179","Bin24",0.000412611087600508,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","uncultured bacterium"
"ASV180","Bin63",0.00105027688752861,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","B1-7BS","uncultured","uncultured bacterium"
"ASV181","Bin63",0.000719424460431655,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","IS-44","uncultured bacterium"
"ASV182","Bin46",0.000435326159753538,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,"uncultured","uncultured bacterium"
"ASV183","Bin76",0.00104073128295815,"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,"uncultured","uncultured bacterium"
"ASV184","Bin14",0.00101322780583784,"Bacteria","Bacteroidota","Ignavibacteria","SJA-28",NA,"uncultured","uncultured bacterium"
"ASV185","Bin46",0.00104351918164483,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Luteitalea","uncultured bacterium"
"ASV186","Bin56",0.00104961235607141,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","uncultured bacterium"
"ASV187","Bin36",0.0010336177399371,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","uncultured bacterium"
"ASV188","Bin24",0.00102264740263726,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","uncultured bacterium"
"ASV189","Bin24",0.00101266787527782,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","uncultured bacterium"
"ASV190","Bin78",0.00102711503269276,"Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Defluviicoccaceae","Defluviicoccus","uncultured bacterium"
"ASV191","Bin86",0.00101954334197508,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium","uncultured bacterium"
"ASV192","Bin16",0.000549373895009781,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia","uncultured bacterium"
"ASV193","Bin87",0.00101960732857703,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","uncultured","uncultured bacterium"
"ASV194","Bin107",0.00103808545787382,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","uncultured bacterium"
"ASV195","Bin36",0.00103808545787382,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","uncultured bacterium"
"ASV196","Bin79",0.00102427548546747,"Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Candidatus Alysiosphaera","uncultured bacterium"
"ASV197","Bin37",0.000969607717187595,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","uncultured bacterium"
"ASV199","Bin16",0.000680894762691432,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia","uncultured bacterium"
"ASV200","Bin36",0.000951655596836511,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","uncultured bacterium"
"ASV201","Bin27",0.000989932026410432,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum","uncultured bacterium"
"ASV202","Bin88",0.00100327153762268,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium","uncultured bacterium"
"ASV203","Bin53",0.000981259913750372,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","uncultured","uncultured bacterium"
"ASV204","Bin69",0.000979741870724695,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rubrivivax","uncultured bacterium"
